"category","question","answer"
"General","In alphabet radio code, what word is used for 't'?","tango"
"General","What does N.A.S.A stand for?","National Aeronautics and Space Administration"
"General","What color does the bride wear in China?","red"
"General","who rode naked through the streets of coventry","lady godiva"
"General","Which animal has the largest eyes?","giant squid"
"General","What character did Tex Avery first create upon arriving at MGM?","Screwball Squirrel"
"General","Which country was host to the 1999 cricket world cup?","England"
"General","With which sport is Jack Nicklaus associated ?","Golf"
"General","Josie and the ________","Pussycats"
"General","Coal is predominantly made up of this element.","carbon"
"General","What is non-rhyming poetry called?","blank verse"
"General","Betsy Ross is the only real person to ever have been the head of a ······?","Pez dispenser"
"General","What is the only fish that can blink at you with both eyes?","shark"
"General","What is a pugilist?","boxer"
"General","What is the Maths equivalent of the Nobel prize ?","Fields Medal"
"General","Baseball: The Cleveland ······?","Indians"
"General","Meridians converge at the ________.","Poles"
"General","He taught Alexander the Great.","Aristotle"
"General","The lack of this element in the diet is a cause of goitre.","Iodine"
"General","When was Salvador Dali born?","on may the 11th 1904"
"General","Who is the voice of Darth Vadar?","James Earl Jones"
"General","Three main types of Greek columns are Doric, Ionic, and __________.","Corinthian"
"General","Who reinvented the Man of Steel -- Superman -- in the 80s","John Byrne"
"General","Baseball: The Baltimore ________.","Orioles"
"General","Which country hosted the 1982 World Cup of soccer?","Spain"
"General","To which family does the coffee plant belong?","madder"
"General","From which fruit is the liqueur Kirsh made?","Cherries"
"General","Words containing 'ten': A choice cut of meat.","Tenderloin"
"General","What animals are on the Australian coat of arms?","emu and kangaroo"
"General","Of what does the typical man have 13,000?","whiskers"
"General","What are the pouched animals called?","Marsupials"
"General","Cocktails: Rum, lime, and cola drink make a(n) ············.","cuba libre"
"General","Benoit Mandelbrot discovered what mathematical structures?","fractals"
"General","what is the proper name for a whale's penis","dork"
"General","Which arabic country has the biggest proportion of Christians?","Lebanon"
"General","A loss of memory is known as ··········.","amnesia"
"General","What is the astronomical name for a group of stars?","constellation"
"General","What is the name given to a quadrilateral with one, and only one, pair of sides parallel to each other?","trapezium"
"General","To make Drambuie, you add some honey to what type of whiskey?","Scotch"
"General","What is the chemical element Pa?","Protactinium"
"General","What is the square root of -1 ?","i"
"General","Where is the biggest calibre cannon?","Kremlin"
"General","This is the medical name for shoulder blade?","scapula"
"General","What colour lenses are required to view a 3-D film?","red and green"
"General","What is a Googol?","The Largest Named Number"
"General","Who was America named after ?","Amerigo Vespucci"
"General","What is soccer star Pele's real name?","Edson Arantes do Nascimento"
"General","Time magazine named what its "Man of the Year" in 1982?","computer"
"General","(Whitney Grisword) The only sure weapon against bad ideas is ... ?","better ideas"
"General","What is the fastest growing species of grass ?","Bamboo"
"General","What actress's real name was Frances Gumm?","Judy Garland"
"General","What is the term for the path followed by a body in space?","Orbit"
"General","What is the symbol for silver?","Ag"
"General","On a ship, what is the line that indicates the maximum load that may be transported?","Plimsoll Line"
"General","X-Force: character of Marvel, Image, DC, Dark Horse, Fantagraphics","Marvel"
"General","Who is "The Iron Lady"?","Margaret Thatcher"
"General","This country is divided at the 38th parallel.","Korea"
"General","Who patrols Gotham City?","Batman and Robin"
"General","Botany and Zoology combined make up the science of _______.","Biology"
"General","What continent is the home to the greatest number of countries?","Africa"
"General","In which country is Madras?","India"
"General","Baseball: The Baltimore ········.","Orioles"
"General","what color refrigerators do north americans buy most","white"
"General","What country has the largest armed force?","China"
"General","Sartre, Camus and de Beauvoir all belonged to a movement known as ----","Existentialism"
"General","This ancient attempt to transmute base metals into gold was called ·······.","alchemy"
"General","Who was the first Christian missionary?","Paul"
"General","With what sport is Jack Nicklaus associated?","golf"
"General","The national bird of India is the?","Peacock"
"General","This term for those who oppose technological progress stems from 19th century working men who thought machinery would cause unemployment and societal degradation.","luddites"
"General","Whats the main feature of a speedway motorbike?","No Brakes"
"General","... is the idea, often associated with the political theories of John Locke and the 'founders' of the American republic, that government can and should be legally limited in its powers, and that its authority depends on its observing these limitations.","Constitutionalism"
"General","What do the letters 'SAM' mean in SAM missiles?","Surface To Air"
"General","In this team sport each player gets a chance to play every position.","Volleyball"
"General","Who invented the most common projection for world maps?","Gerardus Mercator"
"General","This bird lays its eggs in the nests of other birds.","The cuckoo"
"General","These animals were once used to bleed the sick.","Leeches"
"General","s 2002 movie","Tobey Maguire"
"General","In which state is Mount Vernon?","Virginia"
"General","Excluding man, what is the longest-lived land mammal?","Elephant"
"General","Gymnophobia is the fear of __________.","naked bodies"
"General","What is the monetary unit of India?","Rupee"
"General","How many sayings did Jesus say from the cross?","seven"
"General","The person who carries the golfer's clubs is called a(n) ········.","caddie"
"General","Who is the fastest mouse in All of Mexico?","Speedy Gonzales"
"General","what is mr. roger's first name","fred"
"General","In which ruins was the first known written advertisement found?","Thebes"
"General","What does the statue of Oscar stand on?","A reel of film"
"General","What was Daffy Ducks usual closing line?","You're dispicable!"
"General","Synonymous with obituary; a list of recently deceased.","necrology"
"General","What is the sixth planet from our sun?","Saturn"
"General","What US state was once an independent republic?","texas"
"General","Speaking of G.B. Shaw, he originally adhered to a form of communism called?","fabianism"
"General","Who sang the Song "Gangsta's Paradise"?","Coolio"
"General","What was Lucy's maiden name on 'I Love Lucy'?","McGillicuddy"
"General","Teddy Roosevelt banned the a what from the White House for environmental reasons?","Christmas Tree"
"General","What is a female calf called?","heifer"
"General","The Sun is how much more dense than water?","1.41"
"General","In which country is Sapporo?","Japan"
"General","Whose motto is 'Be prepared'?","Boy Scouts"
"General","The Triassic, Jurrasic, and Cretaceous periods make up which era ?","Mesozoic Era"
"General","He ordered the persecution of Christians in which Peter and Paul died.","Nero"
"General","Cocktails: Rum, lime, and cola drink make a(n) ____________.","Cuba Libre"
"General","General Sherman burned this city in 1864.","Atlanta"
"General","The "Human Torch" is part of which superhero group","Fantastic Four"
"General","The Japanese martial art of fencing is called ________.","Kendo"
"General","He holds the NHL record for the most goals scored during the regular season.","Wayne Gretzky"
"General","To what do opposite faces of a dice always add up?","seven"
"General","Deoxyribonucleic acid is better known as __________.","DNA"
"General","What is an emasculated stallion called?","A gelding"
"General","In alphabet radio code, what word is used for 'x'?","X-ray"
"General","What does the acronym 'scuba' mean?","Self Contained Underwater Breathing Apparatus"
"General","What's the resting place of those buried at sea?","Davey Jones' Locker"
"General","what is the capital of chile","santiago"
"General","As what is haemophilia also known?","royal disease"
"General","What was the first cartoon to feature sound?","Steamboat Willy"
"General","This first king of Israel reputedly had 700 wives?","Soloman"
"General","With which sport is Muhammad Ali associated ?","Boxing"
"General","How many bends in a standard paperclip?","three"
"General","Electrum is a natural alloy of gold and what other metal?","silver"
"General","What was the first model Rolls Royce called?","silver ghost"
"General","How much do nine pennies weigh?","one ounce"
"General","All of the clocks in what movie are stuck on 4:20?","Pulp Fiction"
"General","What is another name for a  tightrope walker?","funambulist"
"General","What is the world's oldest newspaper(the name is swedish) ?","Post och Inrikes Tidningar"
"General","Baseball: The Chicago ······?","Cubs"
"General","The highest types of cloud are called _________.","Cirrus"
"General","Who was the second to set foot on the moon?","Edwin Aldrin"
"General","The science of providing men, equipment and supplies for military operations is called ___________.","Logistics"
"General","When was Salvador Dali born?","may the 11th 1904"
"General","The two rival gangs in "West Side Story" were the Sharks and the _________.","Jets"
"General","He was the U.S. president during the Civil War.","Abraham Lincoln"
"General","Who's the author of "Eightball""," Clowes"
"General","Football: The Minnesota _______.","Vikings"
"General","What European country has "Vaduz" as its capital city?","Liechtenstein"
"General","Which tree only produces acorns after it is fifty years old?","oak"
"General","A triangle with two equal sides is called __________.","Isosceles"
"General","The molten material from a volcano is ________?","Lava"
"General","What are the roads of Guam paved with?","coral"
"General","What do the auricularis muscles move?","ears"
"General","A triangle with three equal sides is called _______.","Equilateral"
"General","Cocktails: Triple sec, tequila, and lemon or lime juice make a(n) ·········.","margarita"
"General","Solve this: 10*3+2?","32"
"General","what is the last letter of the greek alphabet (written out in english)","omega"
"General","Which US comapny makes the most profit per second??","Ford"
"General","A medicine that hastens the emptying of the bowels is called a ········.","laxative"
"General","What is the term for the path followed a by a small body around a massive body in space?","orbit"
"General","Who is referred to in the New Testament as 'the disciple Jesus loved'?","John"
"General","Vodka or gin, ____ juice and sugar make a gimlet.","lime"
"General","Who owns Weight Watchers?","Heinz"
"General","Who invented logarithms ?","John Napier"
"General","The Hubble telescope is named after this astronomer?","Edwin Hubble"
"General","Who invented popsicles?","Frank Epperson"
"General","What is a Blue Moon?","2nd full moon in 1 month"
"General","Who was responsible for the American style of spelling ?","Noah Webster"
"General","What is the maximum number of clubs a golfer may use in a round?","fourteen"
"General","Every citizen of Kentucky is required by law to take a what once a year?","bath"
"General","(Proverb) Money isn't everything, says ... ?","my boss"
"General","What is the most common animal ?","Sea worm"
"General","What was Dorothy's last name in "The Wizard of Oz"?","Gale"
"General","This large bean-shaped lymph gland can expand and contract as needed.","The spleen"
"General","How many chambers does the human heart have?","Four"
"General","How many different letters are used in the roman numeral system?","seven"
"General","X-Men: characters of Marvel, Image, DC, Dark Horse, Fantagraphics","Marvel"
"General","What was the instrument of execution during the "Reign of Terror"?","The guillotine"
"General","What is the currency of Venezuela?","Bolivar"
"General","Similes: As pretty as a(n) ________.","Picture"
"General","What is another term for a black leopard?","Panther"
"General","In which city is the Coliseum located?","Rome"
"General","Fresh as a(n) ··············.","daisy"
"General","what is the waiting room for tv performers and guests called","green room"
"General","What colour is a crabÆs blood?","blue"
"General","This Greek philosopher believed man is born with all knowledge and life and education are processes of remembering what is forgotten at birth.","Plato"
"General","Water containing carbon dioxide under pressure is called ···· ·····.","soda water"
"General","What is the world's largest insect?","Goliath beetle"
"General","What is the literal English translation for China’s Tiananmen Square?","Heavenly Peace"
"General","With what did cricketer Mansoor Ali Khan Pataudi frequently play with in his hands?","glass eye"
"General","The only river that flows both north and south of the equator is the?","congo"
"General","What is a lower than average tide normally occuring at the first and third quarters of the moon called?","neap tide"
"General","What is James Naismith best known for?","inventing Basketball"
"General","... can be thought of as the metaphysical theory that attempts to account for the truth of claims like 'It is possible that there are Aliens' without appealing to any nonactual objects whatsoever. What makes this theory so philosophically interesting, is","Actualism"
"General","What is the mascot of the US naval academy?","goat"
"General","This term denotes a chess move in which both the king and the rook are moved.","Castling"
"General","In the old gag, where is Prince Albert?","In a can"
"General","How many pints of blood does the average human have in his/her body?","Twelve"
"General","The study of the manner in which organisms carry on their life processes is ________.","Physiology"
"General","s love is called ...","Mary Jane"
"General","Which country borders Italy, Switzerland, West Germany, Czechoslovakia, Hungary, Yugoslavia, and Liechtenstein?","Austria"
"General","What do oak trees grow from?","Acorns"
"General","Cornflakes were invented in 1863, 1890 or 1915?","1890"
"General","This word means "split personality".","Schizophrenia"
"General","In which city is Saint Paul's Cathedral?","London"
"General","How many times did Peter deny Jesus?","three"
"General","The white marks intersecting each five yard line are called ········.","hash marks"
"General","What city boasts the Copacabana Beach and Impanema?","Rio de Janeiro"
"General","who was chief marshall of the mickey mouse club","walt disney"
"General","His films include: Giant, Written on the Wind, and A Farewell to Arms.","Rock Hudson"
"General","Porky Pig had a girlfriend named _______.","Petunia"
"General","She was a reletive of Sir Philip Sydney and the Countess of Pembroke, authored the famous sonnet sequence Pamphilia to Amphilanthus?","Lady Mary Wroth"
"General","Where are the 4 major moons of Jupiter discovered by?","Galileo"
"General","What element do all organic compounds contain?","carbon"
"General","The social and philosophic creedo of Irish playwright George Bernard Shaw is called:","shavianism"
"General","What was the name of Ross' pet monkey on 'Friends'?","Marcel"
"General","What is a female cat called?","queen"
"General","What is the largest city in China?","Shanghai"
"General","Who conquered the Matterhorn in 1865?","Edward Whymper"
"General","Thomas Young the Physicist and Egyptologist spoke how many language when he was 14 ?","twelve"
"General","He was assassinated on Dec. 8, 1980 in New York City.","John Lennon"
"General","Similes: As smart as a(n) ________.","Whip"
"General","He was assassinated on Nov. 22, 1963.","President Kennedy"
"General","In 1992, who won the Pulitzer Price for his comic book narrative","Art Spiegelman"
"General","Hockey: The Montreal ________.","Canadiens"
"General","Which position is usually played by the tallest member on a basketball team?","Center"
"General","What is another name for the card game 'Blackjack'?","Twenty-one"
"General","Laetrile is associated with the pit of which fruit?","The apricot"
"General","The study of light and its relation to sight is called ________.","Optics"
"General","Using morse code, what does trasmitting using 3 dots, 3 dashes and 3 dots?","SOS"
"General","Who is the dog on the crackerjack box?","Bingo"
"General","Where is the city of Brotherly Love?","Philadelphia"
"General","Who played Garth in Wayne's World?","Dana Carvey"
"General","Of what is keratitis an inflammation?","cornea"
"General","Name the dog in the Yankee Doodle cartoons.","Chopper"
"General","With which sport is Pele associated ?","Soccer"
"General","Frown, it is not well regarded.","World Wrestling Federation"
"General","He founded our modern periodic table. Surname only?","Mendeleev"
"General","What's the name of Blur's frontman?","Damon Albarn"
"General","Like what can a fully ripened cranberry be dribbled?","basketball"
"General","What fruit family do almonds belong?","Peach"
"General","What is someone who collects banknotes called?","Notaphile"
"General","What is the world's oldest song ?","Shadouf chant"
"General","Baseball: The Houston ······?","Astros"
"General","What age preceded the Iron Age?","The Bronze Age"
"General","This is the reading system used by the blind.","The Braille System"
"General","When did Salvador Dali die","on may the 11th 1904"
"General","Who co-starred with Julie Andrews in "Mary Poppins"?","Dick Van Dyke"
"General","Who was George Washington's vice-president?","John Adams"
"General","Stan Lee and who invented many of the original Marvel superheros","Jack Kirby"
"General","Hockey: The Los Angeles ________.","Kings"
"General","Which city is on the east side of San Francisco Bay?","Oakland"
"General","How many inches tall are the bearskins worn by the guards at Buckingham Palace?","twenty"
"General","This planet's diameter is most equal to that of the earth's.","Venus"
"General","Which U.S. state has the least rainfall?","Nevada"
"General","What are the sandals called that are worn in ceremonial japanese tradition?","tabi"
"General","What is the Scientific name for the eardrum?","tympanic membrane"
"General","The practice of joining the parts of two plants to make them grow as one is called ________.","Grafting"
"General","Cocktails: Vodka and Kahlua make a ···········.","black russian"
"General","The first antiderivative of acceleration is:","velocity"
"General","what is the u.s. president bill clinton's name (according to his birth certificate)","william clinton"
"General","Where is the original London Bridge located?","Lake Havasu, Arizona"
"General","A non-cancerous tumor is said to be ·······.","benign"
"General","The two sexes of humans are male and ······?","female"
"General","What was the first sign shown to Moses by God according to the Bible?","burning bush"
"General","A meaningless distraction is a ... herring.","red"
"General","What are a chessboard's vertical rows called?","Files"
"General","Who proved Fermat's Last Theorem ?","Andrew Wiles"
"General","which two great physicists developed calculus independently of each other?","Isaac Newton and Leibniz"
"General","As who is Vincent Furnier known?","Alice Cooper"
"General","Who was the first woman to fly the Atlantic alone ?","Amelia Earhart"
"General","What is the misshapen ear that boxers often have called?","cauliflower ear"
"General","Van Gogh started to draw at the age of?","27"
"General","(Stendhal) Women are always eagerly on the lookout for any ... ?","emotion"
"General","What is the name of the process used by green plants for obtaining food ?","Photosynthesis"
"General","What was Sir Alec Guinness's role in "Star Wars"?","Obi-wan-Kenobi"
"General","Dendrochronology is better known as _________.","Tree-ring dating"
"General","Rats, mice, beavers, and squirrels are all ________.","Rodents"
"General","What is 65% of 60?","39"
"General","Enid Coleslaw: character of Marvel, Image, DC, Dark Horse, Fantagraphics","Fantagraphics"
"General","With which country is Prince Rainier III identified?","Monaco"
"General","What is armagnac?","brandy"
"General","A shallow dish with a cover, used for science specimens is a(n) ________.","Petri dish"
"General","In what country is the Waterloo battlefield?","Belgium"
"General","Who took dictation from Perry Mason?","Della Street"
"General","What is a female swan called?","Pen"
"General","Which of the 48 contiguous states extends farthest north?","Minnesota"
"General","Which French Philosopher used a method of systematic doubt to arrive at his famous conclusion "Cogito ergo sum" (I think therefore I am)?","Rene Descartes"
"General","Baseball: The Toronto ·········.","Bluejays"
"General","what is the only land mammal native to new zealand","bat"
"General","What animal is incapable of making a sound that will echo?","duck"
"General","What short book by Niccolo Machiavelli is a collection of rules and principles one must abide by in order to seize and hold power?","The Prince"
"General","Name the loner rebel reindeer with the red shiny nose.","Rudolph"
"General","Which country is the world's biggest gold producer?","South Africa"
"General","Who sang the theme song to the James Bond movie, "A View to A Kill"?","Duran Duran"
"General","What swimming stroke is named after an insect?","butterfly"
"General","The only place in the world where one can see the sun rise on the Pacific Ocean and set on the Atlantic is in which country?","Panama"
"General","What family do these fruits belong to - Kumquat, Pommelo, Ugli Fruit?","Citrus"
"General","What are the only two colours a table tennis ball is allowed to be in","White and Yellow"
"General","Rum is made from this plant.","Sugar cane"
"General","... is the theory that God or the ultimate nature of reality is to be conceived as some form of will (or conation). This theory is contrasted to intellectualism, which gives primacy to God's reason.","Voluntarism"
"General","What is the naval equivalent of an army Major?","Lieutenant Commander"
"General","Which sport has a movement called a "telemark"?","Skiing"
"General","From what Irish words is 'Dublin' derived?","dubh linn"
"General","What is it that turns blue litmus paper red?","Acids"
"General","What ONE word fits? ____hood; ____hole; ____date.","Man"
"General","Bruce Wayne is also known as ...","Batman"
"General","What country borders Egypt to the south?","Sudan"
"General","An angle greater than 90 degrees is said to be _________.","Obtuse"
"General","How many herbs and spices are used in Kentucky Fried Chicken?","eleven"
"General","Peritonitis, affects the ________.","Abdomen"
"General","What state is the Golden State?","California"
"General","How old was Sarah when she had a child?","ninety"
"General","Two under par on a hole of golf is called a(n) ········.","eagle"
"General","What game features the largest ball?","Earthball"
"General","who invented dynamite","alfred nobel"
"General","Which famous million dollar building cost more than a million dollars?","Sydney Opera House"
"General","He starred in "Conan the Barbarian".","Arnold Schwarzenegger"
"General","Casper the Friendly Ghost frolicked with which witch?","Wendy the Good Witch"
"General","Where were the 1896 Olympics held ?","Athens, Greece"
"General","Name the dagger which lends its name to a type of women's shoes with slender pointed heels?","stiletto"
"General","Which astronomer first observed 4 moons of Jupiter in 1610?","Galileo Galilei"
"General","What drug can be found in tonic water?","quinine"
"General","What does the Greek root word 'chrom' mean?","color"
"General","Which group sang the song "sleeping child"?","Michael Learns To Rock"
"General","When did the series 'Lost In Space' premier on CBS?","1965"
"General","How many country's have a life expectancy of over 80 years?","four (Andorra, San Marino, Australia, Japan)"
"General","Where were the 1900 Olympics held ?","Paris, France"
"General","What is a male cat called?","tom"
"General","What is -459.7 F also know as?","Absolute Zero"
"General","What is the capital of Nebraska","Licoln"
"General","What are Eastern, Central, Mountain, and Pacific ?","American Time Zones"
"General","The second space shuttle is named __________.","Challenger"
"General","Film Title: The Last Days of _________. (a city)","Pompeii"
"General","Name the holiest day in the Jewish calendar.","Yom Kippur"
"General","92 for which comic book narrative","MAUS"
"General","Name the hockey trophy awarded to the player demonstrating the best sportsmanship.","The Lady Byng Trophy"
"General","How many players are there on a water polo team?","Seven"
"General","What is another name for the card game 'Twenty-one'?","Blackjack"
"General","To what disability can keratitis lead?","blindness"
"General","What type of animal lives in a formicary?","Ants"
"General","This is the heaviest naturally occurring element.","Uranium"
"General","What is a south african coin containing 1 troy ounce of gold called?","Krugerrand"
"General","What is ground being 'rested' for a season called?","fallow"
"General","What is the only dog that doesn't have a pink tongue?","Chow"
"General","Who was Carl in Five Easy Pieces before going to Walton's Mountain?","Ralph Waite"
"General","On what side should you sleep to improve digestion?","right"
"General","Name the ranger who was always after Yogi Bear.","Ranger Rick"
"General","A collection of literary pieces?","anthology"
"General","Which Grand Slam tennis event is played on a clay surface?","French Open"
"General","In organic chemistry nomenclature, the prefix "meth" means how many atoms of carbon?","one"
"General","In which city was Hugh Grant arrested with Divine Brown?","Los Angeles"
"General","Of what are throat, foxing and platform parts?","shoe"
"General","It's impossible to sneeze with your eyes ....?","open"
"General","What is a 'somnambulist'?","sleepwalker"
"General","What is the world's oldest university ?","Fez University"
"General","Baseball: The Florida ······?","Marlins"
"General","Four Japanese carriers were destroyed in this battle.","Midway"
"General","What are white dwarfs and red giants?","Types of stars"
"General","When did Salvador Dali die","may the 11th 1904"
"General","What is the destination of the plane at the end of the film "Casablanca"?","Lisbon"
"General","He was defeated at the Battle of Little Bighorn.","George A. Custer"
"General"," Hobbes","Bill Watterson"
"General","Soccer: The New York _________.","Cosmos"
"General","Name the U.S. state with the smallest population.","Alaska"
"General","In the House of Lords, where does the Lord Chancellor sit?","woolsack"
"General","Walrus tusks are made of ________.","Ivory"
"General","Mount Victoria is the highest peak of this island country.","Fiji"
"General","What city do the Italians call the Monaco of bavaria?","Munich"
"General","What is the common name for the sternum?","breastbone"
"General","What word is used for a male duck?","Drake"
"General","What is the name of the field where Christ was crucified?","Calvary"
"General","Cocktails: Vodka, orange juice and Galliano make a(n) ···········.","Harvey Wallbanger"
"General","What is x to the power of zero equal to?","one"
"General","who composed the music for apollo 13","james horner"
"General","Where is the coldest desert in the world?","antarctica"
"General","A thread used in surgery to tie a bleeding blood vessel is called a(n) ·········.","ligature"
"General","Every human has one of these on their tummies.","navel"
"General","What is the shortest verse in the bible? (John 11:35)","Jesus wept."
"General","How many is a baker's dozen?","thirteen"
"General","What is the regulation height for a pin in tenpin bowling? (in inches)","fifteen"
"General","How is german measles also known ?","Rubella"
"General","What is 9 metres high, 7 metres wide and 2,500 kilometres long?","Great Wall of China"
"General","These establishments don't have windows or clocks?","casinos"
"General","What is Alice Cooper's real name?","Vincent Furnier"
"General","What is the name given to a rower who competes in an individual event?","sculler"
"General","The first person other than royalty to be portrayed on a British stamp was?","William Shakespeare"
"General","(Mark Twain) Man is the only animal that blushes, or ... ?","needs to"
"General","What is the process of converting glucose to energy in cells called ?","Respiration"
"General","Who played Scarlette O'Hara in "Gone With the Wind"?","Vivien Leigh"
"General","What is the name for the theoretical end-product of the gravitational collapse of a massive star?","Black hole"
"General","A thread used in surgery to tie a bleeding blood vessel is called a(n) _________.","Ligature"
"General","What is the maximum number of integer degrees in a reflex angle?","three hundred and fifty nine"
"General","David Boring: character of Marvel, Image, DC, Dark Horse, Fantagraphics","Fantagraphics"
"General","He allowed the bugging of the Democratic Committee headquarters.","Richard Nixon"
"General","This term means 'cone-bearing trees'.","Conifers"
"General","Mustard, ketchup and onions on a hotdog are all ___________.","Condiments"
"General","Havana is the capital of which country?","Cuba"
"General","Who was Barney Rubble's best friend?","Fred Flintstone"
"General","What is the name of the syrup drained from raw sugar?","Molasses"
"General","What does TKO stand for?","Technical Knock Out"
"General","how many queen bees reign in a hive","one"
"General","What animal appears on an australian 5 cent coin?","Echidna"
"General","Santa Claus reportedly lives at the ····· Pole.","north"
"General","French farmers get help from this barnyard animal to dig out truffles.","pig"
"General","What medical procedure is said to work by manipulating the body’s electrical energy flow?","Acupuncture"
"General","The lowest country in the world is?","The Netherlands"
"General","Betta Splendens, known for its labrynth gills that allow it to live in small plastic cups, it's long bright fins and aggression to males of the same species is also called the:","Siamese Fighting Fish"
"General","The name of the only weapon in women's fencing?","foil"
"General","This branch of medicine deals with old age and its diseases.","Geriatrics"
"General","... can be defined as an abstract object or term which ranges over particular things. The classic problem involves whether abstract objects such as "largeness" exist in a realm independent of human thought. Realists argue that they do.","A universal"
"General","With which hand do soldiers salute?","right"
"General","From what is velvet made ?","Silk"
"General","In which sport is the term, "Hang ten" used?","Surfing"
"General","From what language is the term 'finito'?","Italian"
"General","Word Pairs: Ball and ________.","Chain"
"General","s the sidekick of Batman","Robin"
"General","Name the capital of Brazil.","Brazilia"
"General","What would be kept in an "aviary"?","Birds"
"General","How many pieces of bun are in a Mcdonald's Big Mac?","three"
"General","Osteomyelitis affects the _________.","Bones"
"General","In which country is the Machu Picchu?","Peru"
"General","On which day was the resurrection of Christ?","Easter Sunday"
"General","Who was the first NHL player to score 50 goals in one season?","Maurice Richard <-- pronounced "Reeee-shard""
"General","This country's flag has a large "R" on it.","Rwanda"
"General","what does a brandophile collect","cigar bands"
"General","Who painted 'Irises'?","Vincent Van Gogh"
"General","This Disney movie relies heavily on computer animation.","TRON"
"General","What was the relationship between Superman and Supergirl?","Cousins"
"General","Where were the 1908 Olympics held ?","London, England"
"General","Indians eat using which hand?","right"
"General","Which moon is the largest satellite in our solar system?","Ganymede"
"General","What Greek slave wrote fables?","aesop"
"General","What is the first letter in the Greek alphabet?","Alpha"
"General","Which group sang the song "Fuel"?","Metallica"
"General","Which famous male actor made his name in 'I Dream Of Jeannie'?","Larry Hagman"
"General","Who's first girlfriend was named Thelma Pickles?","John Lennon"
"General","What is a resident of Manchester called?","Mancunian"
"General","Pony, Shot and Jigger are all units to measure what?","Spirits"
"General","What country is Santo Domingo the capital of?","The Dominican Republic"
"General","What are noctilucent, cirrus, and cirrostratus categories of ?","Clouds"
"General","In what year does England's lease on Hong Kong expire?","1997"
"General","What was Citizen Kane's dying word?","Rosebud"
"General","Which nation was led by Genghis Khan?","The Mongols"
"General","Adams","Dilbert"
"General","Which country won the World Cup of Soccer in 1982.","Italy"
"General","Basketball: The New York __________.","Knickerbockers"
"General","What is the best possible score in blackjack?","twenty one"
"General","What appears when the sun activates melanocytes?","freckles"
"General","This animal's name is the same as that given to a high church official.","Cardinal"
"General","He discovered the process of vaccination for prevention of smallpox.","Edward Jenner"
"General","What is a group of donkeys called?","herd"
"General","After what were the B52 bombers named?","a fifties hairdo"
"General","What's the nickname of the University of Georgia football team?","Bulldogs"
"General","Where did Howdy Doody live?","Doodyville"
"General","U.S. President, Woodrow ··········.","Wilson"
"General","What was the name of Speed Racer's car?","The Mach Five"
"General","In which country were pizzas made first?","Italy"
"General","What is the international governing board of football (soccer)?","FIFA"
"General","The atomic weights in the periodic table are stated in proportion to the weight of what element, with atomic number 6?","carbon"
"General","Phil Collins appeared in which Spielberg film with Robin Williams?","Hook"
"General","What have woodpecker scalps, porpoise teeth and giraffe tails all been used as?","money"
"General","With what is rainfall measured?","ombrometer"
"General","What modern word comes from the Arab "hashishi" ?","Assassin"
"General","Baseball: The Kansas City ······?","Royals"
"General","Who is Bibendum better known as?","The Michelin Man"
"General","What Chinese dynasty was overthrown in 1911?","Manchu dynasty"
"General","What is the biggest disqualifying factor for prospective astronauts?","Eyesight"
"General","What was the original name of the comic strip Peanuts?","Charlie Brown"
"General","In this 1968 film the husband of an unsuspecting young wife becomes involved with a witch's coven.","Rosemary's Baby"
"General","U.S. President, Woodrow __________.","Wilson"
"General","Who invented "Spawn"","Todd McFarlane"
"General","Football: The Miami __________.","Dolphins"
"General","Name the largest lake in Australia","Lake Eyre"
"General","In which park are Queen Mary's gardens?","Regents Park"
"General","Name the fastest land animal over a prolonged distance (1,000 yd. plus)","Antelope"
"General","In what country is Thunder Bay?","Canada"
"General","What do the Italians call Munich?","Monaco of Bavaria"
"General","What is the common name for the scapula?","shoulder blade"
"General","Ethylene glycol is frequently used in automobiles.. How?","Anti-freeze"
"General","What is the name given to the supreme reality in Hinduism?","Brahman"
"General","Cocktails: Whiskey, hot coffee, and whipped cream make a(n) ·········.","Irish coffee"
"General","What is the name given to a curve that approaches a line, but never quite touches it?","asymptote"
"General","who composed the music for air force one (1996)","jerry goldsmith"
"General","Whats the chemical formula CH3COOH commonly known as?","vinegar"
"General","Carditis, affects the ········.","heart"
"General","How many large holes are in your head?","seven"
"General","What is often referred to as "the oldest profession"?","prostitution"
"General","What is the score of a forfeited baseball game?","9-0"
"General","Who developed the vaccine for smallpox ?","Edward Jenner"
"General","Good Rhine wines are bottled in what colour bottles?","brown"
"General","This city is the capital of Armenia?","yerevan"
"General","What is Conway Twitty's real name?","Harold Lloyd Jenkins"
"General","Joan Collins was how old when she posed semi-nude for "Playboy" in 1983?","50"
"General","(W.H.Auden) Men will pay large sums to whores, for telling them they are not ... ?","bores"
"General","What name is given to a male bee ?","Drone"
"General","What was the name of Luk's strange little advisor in "The Empire Strikes Back"?","Yoda"
"General","Edgar Allen Poe wrote a famous poem about his animal.","Raven"
"General","Ichthyology is the study of ________.","Fish"
"General","What is the maximum number of integer degrees in an acute angle?","eighty nine"
"General","Batman: character of Marvel, Image, DC, Dark Horse, Fantagraphics","DC"
"General","With what country is Fidel Castro associated?","Cuba"
"General","Which month has a diamond as a birthstone?","April"
"General","A word like 'NASA' formed from the initials of other words is a(n) _________.","Acronym"
